"TITRE";"ID";"CODE";"NOM_SOURCE";"AUTEUR";"CRITIQUE";"NOTE"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"537";"19939793";"Le Monde";"Thomas Sotinel";"""Arrietty"" reste de bout en bout un enchantement.";"5"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"538";"19939790";"La Croix";"Arnaud Schwartz";"On ne sera (...) pas étonné de trouver dans ""Arrietty, le petit monde des chapardeurs"" tout ce qui fait la valeur, l'intelligence et l'humanisme des oeuvres Ghibli (...) La magie Ghibli, une fois de plus, opère avec beaucoup de justesse et de profondeur.";"4"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"539";"19931348";"Excessif";"Romain Le Vern";"Un film d'animation sous influence. Trop.";"2"
"ASAKO I&II";"540";"40066086";"Les Inrockuptibles";"Bruno Deruisseau";"Avec son infinie attention accordée à chaque geste, chaque regard et chaque parole, ""Asako I&II"" cerne au plus près les variations amoureuses de son personnage. Hyperréaliste et sentimental, le film étanche sa soif d’idéal en sublimant le trivial.";"5"
"ASAKO I&II";"541";"40065992";"Télérama";"Louis Guichard";"Un film japonais prenant et sans cesse surprenant qui évoque Vertigo, de Hitchcock.";"4"
"ASAKO I&II";"542";"40066025";"Le Nouvel Observateur";"Xavier Leherpeur";"Bouleversante et sobre, délicate sans jamais être éthérée, cette histoire d'amour en deux actes sur la cristallisation du désir, l'objet de la fascination amoureuse et le droit à une seconde chance est une merveille de subtilité d'écriture et de mise en scène. Confirmation que cet auteur est une des valeurs sûres du cinéma japonais.";"4"
"ASAKO I&II";"543";"40066142";"Le Dauphiné Libéré";"Jean Serroy";"Loin des emportements lyriques et des feux romantiques, l’amour tel qu’il est ici présenté trouve sa force dans le silence.";"4"
"ASAKO I&II";"544";"40066014";"20 Minutes";"Caroline Vié";"On pense à Eric Rohmer et à John Cassavetes devant cette histoire sensible.";"4"
"ASAKO I&II";"545";"40066017";"Cahiers du Cinéma";"Nicholas Elliott";"L’étrange pouvoir de séduction d’Asako I & II provient aussi de sa manière posée, presque sereine de traiter de la passion";"4"
"ASAKO I&II";"546";"40062709";"Marie Claire";"Emily Barnett";"Méditation sur le désir masculin, le couple et la fidélité, ce film délicat s'inscrit dans la tradition des critiques sociales discrètes à l'oeuvre dans le cinéma d'Ozu.";"4"
"ASAKO I&II";"547";"40066204";"La Septième Obsession";"Pamela Pianezza";"Aussi brillant qu’inventif.";"3"
"ASAKO I&II";"548";"40065973";"aVoir-aLire.com";"La Rédaction";"Une œuvre de maturité, belle et essentielle, qui confirme l’immense talent de Ryusuke Hamaguchi.";"4"
"ASAKO I&II";"549";"40066059";"L'Humanité";"Vincent Ostria";"Un fascinant casse-tête sentimental. On en redemande.";"4"
"ASAKO I&II";"550";"40066062";"Positif";"Élise Domenach";"Hamaguchi puise dans l’irréel les ressorts de la croyance en la réalité ; c’est précisément parce que cette rencontre est merveilleuse qu’Asako y croit, et nous avec, par-delà la bluette.";"5"
"ASAKO I&II";"551";"40065513";"BIBA";"Lili Yubari";"Ce film japonais à la fois proustien et rohmerien raconte avec une délicatesse infinie comment on vit avec le fantôme d'un premeir amour dont on ne s'est jamais remis en essayant de lui trouver des remplaçants, alors que l'amour, le vrai, le durable, est là, bien réel, à portée de main.";"5"
"ASAKO I&II";"552";"40065998";"Le Monde";"Jacques Mandelbaum";"Un film d'une richesse et d'une sensibilité rares.";"5"
"ASAKO I&II";"553";"40066032";"Libération";"Olivier Lamm";"""Asako"" est un très grand, très juste film sur ce que c’est que d’être aimé, et d’aimer en retour - une déconstruction de tous les instants.";"5"
"ASAKO I&II";"554";"40066052";"La Croix";"Céline Rouden";"Admirateur de Cassavetes et Rohmer, le cinéaste jusque-là inconnu en France, explore avec délicatesse les sentiments amoureux dans un film où le réalisme flirte avec le fantastique.";"4"
"ASAKO I&II";"555";"40066056";"Le Figaro";"Eric Neuhoff";"Ryüsuke Hamaguchi signe un portrait de femme prise dans les réminiscences d'un premier amour. Un sommet de délicatesse et de pureté.";"4"
"ASAKO I&II";"556";"40066030";"Première";"Thomas Baurez";"La mise en scène aussi gracile que précise donne à ce drame amoureux des allures de rêve éveillé.";"3"
"ASAKO I&II";"557";"40066036";"Critikat.com";"Josué Morel";"La dynamique de la ligne se voit dès lors rejouée dans une perspective inverse : ce qui segmente l’espace que l’on partage à deux ne renvoie plus à l’horizon de la finitude mais à celui du passé, qui double en creux la nouvelle rencontre du souvenir du premier émoi amoureux.";"4"
"ASAKO I&II";"558";"40066150";"Femme Actuelle";"Sabrina Nadjar";"Un film intime et délié sur l'amour et la passion.";"4"
"ASAKO I&II";"559";"40066065";"Les Fiches du Cinéma";"La rédaction";"Poursuivant son étude des mœurs après ""Senses"", Hamaguchi emporte une jeune femme et ses deux amants à la ressemblance troublante dans les vertiges de l’amour. Bien que riche de subtils reliefs, son œuvre offre une réflexion à l’ampleur quelque peu vaine.";"3"
"ASAKO I&II";"560";"40066015";"Sud Ouest";"Sophie Avon";"Un grand film sur l’obsession amoureuse.";"5"
"ASAKO I&II";"561";"40066076";"Le Journal du Dimanche";"Stéphanie Belpêche";"Le réalisateur japonais, qui a signé dans le passé des documentaires sur la catastrophe de Fukushima en 2011, rend encore hommage aux victimes dans ce drame romantique qui manque un peu d’émotion.";"3"
